Name,Organization,Year Elected,Residency
Jean-Baptiste Sue,APS,1785,International
George Wall,APS,1785,Resident
Benjamin Workman,APS,1785,Resident
James Beattie,APS,1786,International
Pierre J.G. Cabanis,APS,1786,International
Conte Luigi Castiglioni,APS,1786,International
Jacques A.C. Charles,APS,1786,International
George Clymer,APS,1786,International
Lorenz Crell,APS,1786,International
Benjamin Duffield,APS,1786,Resident
Aime A.J. Feutry,APS,1786,International
William Temple Franklin,APS,1786,Resident
Thibert Garbier,APS,1786,International
Rene G. Gastelier,APS,1786,International
Granchain,APS,1786,International
Guillaume Grivel,APS,1786,International
Thomas Henry,APS,1786,International
Jonathan Hoge,APS,1786,Resident
Jan Ingenhousz,APS,1786,International
John Andrews,APS,1786,Resident
Richard Kirwan,APS,1786,International
John Morris,APS,1786,Resident
Robert Morris,APS,1786,Resident
Nicolas Noel,APS,1786,International
Charles Willson Peale,APS,1786,Resident
Thomas Percival,APS,1786,International
Robert E. Pine,APS,1786,Resident
William Rawle,APS,1786,Resident
Duc de Louis A. La Rochefoucauld d'Enville,APS,1786,International
Julien D. Le Roy,APS,1786,International
Jean L.G. Soulavie,APS,1786,International
Benjamin Vaughan,APS,1786,International
Samuel Vaughan,APS,1786,Resident
Louis G. Le Veillard,APS,1786,International
Charles H. Wharton,APS,1786,Resident
John Whitehurst,APS,1786,International
William Baker,APS,1787,International
Sir Joseph Banks,APS,1787,International
Robert Barclay,APS,1787,International
Thomas Barnes,APS,1787,International
William Barton,APS,1787,Resident
John Bayard,APS,1787,Resident
William Bingham,APS,1787,Resident
James Bowdoin,APS,1787,Resident
Louis C. Cadet-Gassicourt,APS,1787,International
Benjamin Chew,APS,1787,Resident
Isaac Craig,APS,1787,Resident
Enoch Edwards,APS,1787,Resident
John Hunter,APS,1787,International
Joseph James,APS,1787,Resident
Francis Johnston,APS,1787,Resident
John Johnston,APS,1787,Resident
Charles Lennox,APS,1787,International
John Coakley Lettsom,APS,1787,International
Hon. John Lowell,APS,1787,Resident
Robert Milligan,APS,1787,Resident
Sir Edward Newenham,APS,1787,International
Comte Louis G. Otto,APS,1787,International
John R.B. Rodgers,APS,1787,Resident
Thomas Ruston,APS,1787,Resident
William W. Smith,APS,1787,Resident
George Spence,APS,1787,International
William Thornton,APS,1787,International
George Vaux,APS,1787,International
Antoine A.F. Cadet de Vaux,APS,1787,International
Thomas White,APS,1787,International
Jonathan Williams,APS,1787,Resident
Caspar Wistar,APS,1787,Resident
Simeon De Witt,APS,1787,Resident
Burgiss Allison,APS,1789,Resident
Charles Arthaud,APS,1789,International
Benjamin Smith Barton,APS,1789,Resident
Samuel Beach,APS,1789,International
Sir Charles Blagden,APS,1789,International
John Bleakley,APS,1789,Resident
David Brearly,APS,1789,Resident
Jean P. Brissot,APS,1789,International
George Buchanan,APS,1789,Resident
Pieter Camper,APS,1789,International
Nicholas Collin,APS,1789,Resident
John Cox,APS,1789,Resident
Michel G. St. J. de Crevecoeur,APS,1789,International
Princess Catherine Ekaterina Dashkova,APS,1789,International
William Findley,APS,1789,Resident
Jos. M. de Flores,APS,1789,International
Diego de Gardoqui,APS,1789,International
Francis de Gardoqui,APS,1789,International
Peter Le Gaux,APS,1789,Resident
Ashbel Green,APS,1789,Resident
Friedrich A. von Heintz,APS,1789,International
Joshua Humphreys,APS,1789,Resident
Walter Minto,APS,1789,Resident
George Monroe,APS,1789,Resident
Mekeric L.E. Moreau,APS,1789,International
William Paterson,APS,1789,Resident
C.C. Pinckney,APS,1789,Resident
Thomas Pole,APS,1789,International
David Redick,APS,1789,Resident
Benjamin Rittenhouse,APS,1789,Resident
James Rumsey,APS,1789,Resident
Winthrop Sargent,APS,1789,Resident
Franz A. Steinsky,APS,1789,International
John Stevens,APS,1789,Resident
Charles Stuart,APS,1789,International
James Wilkinson,APS,1789,Resident
John Witherspoon,APS,1789,Resident
Baron J.W.K.A. Hupsch von Lontxen,APS,1790,International
Anders Sparman,APS,1790,International
George Turner,APS,1790,Resident
John Walker,APS,1790,International
Caleb Whitefoord,APS,1790,International
Alexander Addison,APS,1791,Resident
Alexander Anderson,APS,1791,Resident
Absalom Baird,APS,1791,Resident
John Beckley,APS,1791,Resident
Nicholas L. Burmann,APS,1791,International
Alexander J. Dallas,APS,1791,Resident
William Ferguson,APS,1791,Resident
Albert Gallatin,APS,1791,Resident
Benjamin Gloxin,APS,1791,International
Robert Goldsbourough,APS,1791,Resident
John G. Grosche,APS,1791,International
John Hoge,APS,1791,Resident
James Anderson,APS,1791,International
Henry Knox,APS,1791,Resident
John Luzac,APS,1791,International
S.L. Mitchell,APS,1791,Resident
Johann A. Murray,APS,1791,Resident
John Nicholson,APS,1791,Resident
Peter S. Pallas,APS,1791,International
John Penington,APS,1791,Resident
Thomas Pennant,APS,1791,International
Peter S. Du Ponceau,APS,1791,Resident
Edmund Randolph,APS,1791,Resident
Andrew Ross,APS,1791,Resident
James Ross,APS,1791,Resident
John Smilie,APS,1791,Resident
Dugald Stewart,APS,1791,International
Karl P. Thunberg,APS,1791,International
Benjamin Waterhouse,APS,1791,Resident
Richard P. Barton,APS,1792,Resident
Guiseppe Ceracchi,APS,1792,International
William Currie,APS,1792,Resident
Erasmus Darwin,APS,1792,International
Comte de Antoine R.C.M. La Forest,APS,1792,International
Anthony Fothergill,APS,1792,International
David Jackson,APS,1792,Resident
John Page,APS,1792,Resident
Baron de Ambroise M.F.J. Palisot,APS,1792,International
Conte Paolo Andreani,APS,1792,International
John Rouelle,APS,1792,Resident
William Smith,APS,1792,Resident
Uvo van Troil,APS,1792,Resident
John Trumbull,APS,1792,Resident
Rodolph Valltravers,APS,1792,Resident
Nicholas B. Waters,APS,1792,Resident
Andre F. de Coupigny,APS,1793,International
J. Reinhold Forster,APS,1793,International
George Logan,APS,1793,Resident
John W. Lottera,APS,1793,Resident
David Nassy,APS,1793,Resident
Thomas L. Shippen,APS,1793,Resident
Louis Valentin,APS,1793,International
William Waring,APS,1793,Resident
David S. Erskine,APS,1794,International
James Greenway,APS,1794,Resident
James Anderson,APS,1794,International
John Nancarrow,APS,1794,Resident
Gustaf von Carleson,APS,1795,International
Archibald Cochrane,APS,1795,International
Robert Leslie,APS,1795,Resident
Val Melscheimer,APS,1795,Resident
Tim Pickering,APS,1795,Resident
Samuel Wheeler,APS,1795,Resident
Rev. James Abercrombie,APS,1796,Resident
Pierre A. Adet,APS,1796,International
Nathaniel B. Bedford,APS,1796,Resident
Isaac Briggs,APS,1796,Resident
Charles Caldwell,APS,1796,Resident
Dr. Isaac Cathrall,APS,1796,Resident
F.H. Le Comte,APS,1796,International
Tench Coxe,APS,1796,Resident
Joanne B. Cunat,APS,1796,International
Jean Deveze,APS,1796,International
Louis E. Duhail,APS,1796,International
Cypriano R. Friere,APS,1796,International
Jacques M. le F. de Grandpre,APS,1796,Resident
Hugh Hodge,APS,1796,Resident
Jose de Jaudences,APS,1796,International
J.F. Mifflin,APS,1796,Resident
William D. Peck,APS,1796,Resident
Francois A.F. de la Rochefoucauld-Liancourt,APS,1796,International
Sir James E. Smith,APS,1796,International
Charles M. de Talleyrand-Perigord,APS,1796,International
Luis de Urbina,APS,1796,International
James Woodhouse,APS,1796,Resident
William Bache,APS,1797,Resident
Samuel Blair,APS,1797,Resident
John Guillemard,APS,1797,International
William Hamilton,APS,1797,Resident
John Heckewilder,APS,1797,Resident
Andrews Everardus Van Braam Houckgeest,APS,1797,Resident
Thomas C. James,APS,1797,Resident
Alexander Martin,APS,1797,Resident
Theo. C. Mozard,APS,1797,International
John Newnan,APS,1797,Resident
Thomas Pinckney,APS,1797,Resident
Adam Seybert,APS,1797,Resident
Rich P. Smith,APS,1797,Resident
Samuel H. Smith,APS,1797,Resident
John Stuart,APS,1797,Resident
Comte Constantin F. Chasseboeuf de Volney,APS,1797,International
Johann F. Blumenbach,APS,1798,International
Julian U. Niemcewicz,APS,1798,International
William Patterson,APS,1798,International
Giambattista Scandella,APS,1798,International
Franz A. von Zach,APS,1798,International
William Boys,APS,1799,Resident
Joseph Clay,APS,1799,Resident
John R. Coxe,APS,1799,Resident
Samuel Elam,APS,1799,Resident
Benjamin H. Latrobe,APS,1799,Resident
William Maclure,APS,1799,Resident
Thomas P. Smith,APS,1799,Resident
Justus E. Bollmann,APS,1800,Resident
Samuel Brown,APS,1800,Resident
William Dunbar,APS,1800,Resident
